screen_name,name,location,created
FFootballShirts,FFSFootballShirts,"Birmingham, England",2020-11-18
malumpfy,toby gilham,"London, England",2020-11-18
heathertanchuck,Heather Tanchuck,West Los Angeles,2020-11-18
Smithy,Smith,LONDON,2020-11-18
Chegzy_Jay,FC🎶❤️,"Ogun, Nigeria",2020-11-18
gurama_a,Dauda A Gurama,,2020-11-18
ryanleegregory,Ryan Lee Gregory,,2020-11-18
imploremeboss,Blueforever,"Sainte-Suzanne, La Réunion",2020-11-18
_kofiboakye,KB,"Accra, Ghana",2020-11-18
__ablizzy,𓆉,"Massachusetts, USA",2020-11-18
REP_Andres_,Andres,"Houston, TX",2020-11-18
shay_ovoos,Shay_ovoos,,2020-11-18
MadDaniels1,Mad Moody,"Bern, Switzerland",2020-11-18
salifu_halifa,Salifu Halifa,"Greater Accra, Ghana",2020-11-18
shaneneils1,Mr. Skeng🏝⚡,,2020-11-18
Kingfamousgh,FAMOUS GH👾,UEW -Kasoa boy,2020-11-18
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-18
FootyKeyrings,SD,,2020-11-18
AnthonyC_Eri,Anthony Eri🇨🇦,Canada,2020-11-18
deejayrancho,ALUTA RANCHO 🔥🏅🇳🇬,,2020-11-18
tossin_O,Kaniel Outis,Nigeria,2020-11-18
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-18
HaydenKing02,Hayden King,,2020-11-18
matTemitope,Adekola Temitope mat,,2020-11-18
bI8des,blades,England,2020-11-18
Chelseaquiin,#EndSARS,In Christ ,2020-11-18
OllieGlanvill,Ollie Glanvill,London,2020-11-18
TheChelseaSpot,The Chelsea Spot,Stamford Bridge,2020-11-18
LondonsFinestS2,London's Finest Show Feed,,2020-11-18
austin4sports,austin4sports,London,2020-11-18
KitWEARHouse,KitWEARhouse,,2020-11-18
BigAppleSoccer,Big Apple Soccer,"ÜT: 40.839589,-73.122026",2020-11-18
iamtobiade,Akinola,Peegyn,2020-11-18
Habiola17750376,Habiola,Nigeria,2020-11-18
ManlikeDesire,Desire Ademiluyi,"Ilorin, Nigeria",2020-11-18
Oshiocee,Jay,,2020-11-18
DB_Fine_Art,Dean Borghi Fine Art,"529 West 20th Street, 6th Floor, New York, NY 10011",2020-11-18
iprecious59,Zuco ⚓️,"Owerri, Nigeria",2020-11-18
Geo_marx1,George_o,"South East,Nigeria",2020-11-18
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-18
Anas_danmallik,Costtrouble,NG,2020-11-18
yoruba_boy10,king_Prime,IBADAN ,2020-11-18
Soccerwriter,Michael Lewis,@soccerwriter,2020-11-18
vw78bay,Rob Williams,,2020-11-18
LondonsFinestQU,London's Finest,,2020-11-18
Sir_kay__,Kay0d3,Canada in Jesus Name,2020-11-18
Werder_RT,Werder RT,Bremen,2020-11-18
ChelseaPuzzles,ChelseaPuzzles,SW6 1HS,2020-11-18
AbiolaMelody,Melody,,2020-11-18
