screen_name,name,location,created
Sada_of_Juve,Commendatore,Turin Italy,2020-11-30
Karangu52869517,Karangupta,,2020-11-30
footballitalia,footballitalia,,2020-11-30
OldjuveFS,oldjuveFS,,2020-11-30
Setoy_marley,PenGGiaT sEnYuM,Jamaica,2020-11-30
YakiBellagio,Yaki Bellagio,No me banco,2020-11-30
davr0y,davr0y,,2020-11-30
JohnnyFeddy,Feddy,"Montréal, Canada",2020-11-30
Juventissimo90s,𝓙𝓾𝓿𝓮𝓷𝓽𝓲𝓼𝓼𝓲𝓶𝓸,United Kingdom,2020-11-30
RobyBagg10,Marco Vidoretti💜,Lancashire,2020-11-30
ale90BN,⚪️Ale90BiancoNero⚫️,,2020-11-30
lindsay_joker,𝓛𝓲𝓼𝓪･ﾟ*｡ ☆∴｡ * ☆ﾟ*｡🏡🌳🐈,,2020-11-30
sebastiansantag,Sebastian Santacruz A.,,2020-11-30
TonyMonaco,Tony Monaco,"Toronto, Canada",2020-11-30
6ixSideCalcio,6ixSide Calcio,"Toronto, Ontario",2020-11-30
rt_Premier,#premierleague,North london - coyg,2020-11-30
DeFodi,DeFodi Images pressphoto agency,Dortmund,2020-11-30
tsigger,Tsiger.G,"Thessaloniki,greece",2020-11-30
bashir_ashura,Bashir Ashura ♐️,Ilorin,2020-11-30
JuveTherapy,Juve Therapy 📺,,2020-11-30
miladilivorno,mila,toscana- italia,2020-11-30
ndha_mella,Ndha.IDFL,"@IDFL Sports,Public n Subtitle",2020-11-30
Full_Matches,Full Match Replay,,2020-11-30
JulioCMoreno14,Julio César Moreno S.,Spirit In The Sky,2020-11-30
OldFootball11,OldFootballPhotos,,2020-11-30
melove4,Adewumi Titus,The World,2020-11-30
LoveInnie0208,양정인사랑,,2020-11-30
Aguilar_NYY,Michael Aguilar,,2020-11-30
Adz77,Adam Digby,"Turin, Piedmont",2020-11-30
Jayjay24945941,Jayjay,,2020-11-30
theperuvian_6,Mauricio,,2020-11-30
billybantam,glen pearson,bolton,2020-11-30
DegbenroH,Hamid,"Lagos, Nigeria ",2020-11-30
Aloulecharo,Aly Fofana,Mali,2020-11-30
gioiamia11,Dari⚽️ Grec⚽️,"Montreal, Qc.",2020-11-30
arewamum,Taurean Lady,,2020-11-30
ToniQuedd,Tom,,2020-11-30
VeinaPasi,Pasi Veina,"Tampere, Suomi",2020-11-30
